,source,target
1735,1550,94
1736,1551,94
1737,1551,67
1738,1551,131
1739,1557,94
1740,1563,94
1741,1563,67
1742,1563,131
1743,1565,94
1744,1565,110
1745,1565,200
1746,1565,127
1747,1568,142
1748,1569,94
1749,1569,122
1750,1569,126
1751,1571,107
1752,1571,195
1753,1573,94
1754,1574,94
1755,1574,116
1756,1574,205
1757,1574,187
1758,1575,122
1759,1575,126
1760,1575,123
1761,1577,121
1762,1578,94
1763,1578,107
1764,1578,195
1765,1580,94
1766,1581,67
1767,1581,131
1768,1581,119
1769,1581,199
1770,1581,110
1771,1581,200
1772,1583,94
1773,1584,196
1774,1584,173
1775,1589,94
1776,1589,67
1777,1589,131
1778,1590,167
1779,1590,259
1780,1594,107
1781,1594,195
1782,1598,94
1783,1603,94
1784,1607,94
1785,1608,94
1786,1608,122
1787,1608,126
1788,1608,67
1789,1608,131
1790,1610,94
1791,1614,94
1792,1614,183
1793,1614,106
1794,1614,197
1795,1615,94
1796,1615,257
1797,1616,94
1798,1618,94
1799,1618,89
1800,1619,94
1801,1619,123
1802,1620,94
1803,1621,94
1804,1621,107
1805,1621,195
1806,1621,143
1807,1621,106
1808,1621,197
1809,1623,94
1810,1623,67
1811,1623,131
1812,1623,116
1813,1623,205
1814,1623,110
1815,1623,200
1816,1625,94
1817,1625,110
1818,1625,200
1819,1625,112
1820,1625,201
1821,1626,94
1822,1628,94
1823,1628,67
1824,1628,131
1825,1628,142
1826,1630,94
1827,1630,67
1828,1630,131
1829,1630,123
1830,1630,174
1831,1630,107
1832,1630,195
1833,1630,97
1834,1633,94
1835,1633,67
1836,1633,131
1837,1633,119
1838,1633,199
1839,1633,120
1840,1633,107
1841,1633,195
1842,1634,94
1843,1634,111
1844,1634,204
1845,1636,94
1846,1636,67
1847,1636,131
1848,1636,119
1849,1636,199
1850,1636,110
1851,1636,200
1852,1638,94
1853,1639,94
1854,1641,94
1855,1643,135
1856,1643,229
1857,1643,225
1858,1643,233
1859,1643,50
1860,1643,54
1861,1643,83
1862,1643,68
1863,1643,60
1864,1643,263
1865,1643,215
1866,1643,162
1867,1643,247
1868,1643,85
